omega	$N=5120$
0.000000000000000000e+00	2.144681754472158985e+01
1.953888237592809826e-04	2.144519600357568834e+01
3.907776475185619652e-04	2.144033303273918278e+01
5.861664712778429749e-04	2.143223358633925102e+01
7.815552950371239304e-04	2.142090590901506530e+01
9.769441187964049943e-04	2.140636151761022177e+01
1.172332942555685950e-03	2.138861517564392045e+01
1.367721766314966905e-03	2.136768486066364403e+01
1.563110590074247861e-03	2.134359172460783327e+01
1.758499413833528816e-03	2.131636004733577749e+01
1.953888237592809989e-03	2.128601718350729399e+01
2.149277061352090727e-03	2.125259350302063766e+01
2.344665885111371900e-03	2.121612232524041275e+01
2.540054708870652638e-03	2.117663984726855730e+01
2.735443532629933810e-03	2.113418506653528439e+01
2.930832356389214549e-03	2.108879969800283405e+01
3.126221180148495721e-03	2.104052808629527860e+01
3.321610003907776894e-03	2.098941711308087932e+01
3.516998827667057632e-03	2.093551610004978514e+01
3.712387651426338805e-03	2.087887670784006744e+01
3.907776475185619977e-03	2.081955283127511791e+01
4.103165298944900716e-03	2.075760049128646045e+01
4.298554122704181454e-03	2.069307772389638345e+01
4.493942946463462193e-03	2.062604446664510149e+01
4.689331770222743799e-03	2.055656244284527645e+01
4.884720593982024538e-03	2.048469504404771868e+01
5.080109417741305276e-03	2.041050721110191546e+01
5.275498241500586882e-03	2.033406531418976115e+01
5.470887065259867621e-03	2.025543703220699499e+01
5.666275889019148360e-03	2.017469123185824387e+01
5.861664712778429098e-03	2.009189784682660829e+01
6.057053536537710704e-03	2.000712775736433713e+01
6.252442360296991443e-03	1.992045267064368375e+01
6.447831184056272182e-03	1.983194500219214618e+01
6.643220007815553788e-03	1.974167775872475872e+01
6.838608831574834526e-03	1.964972442266896024e+01
7.033997655334115265e-03	1.955615883866478200e+01
7.229386479093396004e-03	1.946105510230469804e+01
7.424775302852677610e-03	1.936448745136145533e+01
7.620164126611958348e-03	1.926653015973503358e+01
7.815552950371239954e-03	1.916725743433158513e+01
8.010941774130520693e-03	1.906674331506884101e+01
8.206330597889801431e-03	1.896506157818523874e+01
8.401719421649082170e-03	1.886228564301016064e+01
8.597108245408362909e-03	1.875848848233627919e+01
8.792497069167643647e-03	1.865374253651445002e+01
8.987885892926924386e-03	1.854811963137635900e+01
9.183274716686206859e-03	1.844169090007023826e+01
9.378663540445487598e-03	1.833452670887941593e+01
9.574052364204768337e-03	1.822669658707517470e+01
9.769441187964049075e-03	1.811826916084147854e+01
9.964830011723329814e-03	1.800931209129125321e+01
1.016021883548261055e-02	1.789989201658016071e+01
1.035560765924189129e-02	1.779007449810984198e+01
1.055099648300117376e-02	1.767992397079859401e+01
1.074638530676045450e-02	1.756950369738454754e+01
1.094177413051973524e-02	1.745887572671604815e+01
1.113716295427901598e-02	1.734810085597035467e+01
1.133255177803829672e-02	1.723723859673363279e+01
1.152794060179757746e-02	1.712634714486534193e+01
1.172332942555685820e-02	1.701548335406051393e+01
1.191871824931614067e-02	1.690470271301678551e+01
1.211410707307542141e-02	1.679405932610544383e+01
1.230949589683470215e-02	1.668360589744028388e+01
1.250488472059398289e-02	1.657339371823109175e+01
1.270027354435326362e-02	1.646347265730661036e+01
1.289566236811254436e-02	1.635389115468449717e+01
1.309105119187182510e-02	1.624469621806627018e+01
1.328644001563110758e-02	1.613593342212962156e+01
1.348182883939038831e-02	1.602764691049065959e+01
1.367721766314966905e-02	1.591987940020631953e+01
1.387260648690894979e-02	1.581267218868717528e+01
1.406799531066823053e-02	1.570606516288955845e+01
1.426338413442751127e-02	1.560009681065895393e+01
1.445877295818679201e-02	1.549480423409338847e+01
1.465416178194607448e-02	1.539022316480140162e+01
1.484955060570535522e-02	1.528638798092700668e+01
1.504493942946463596e-02	1.518333172581839285e+01
1.524032825322391670e-02	1.508108612821913219e+01
1.543571707698319743e-02	1.497968162386262136e+01
1.563110590074247991e-02	1.487914737835403400e+01
1.582649472450176065e-02	1.477951131122743611e+01
1.602188354826104139e-02	1.468080012106842247e+01
1.621727237202032212e-02	1.458303931159709954e+01
1.641266119577960286e-02	1.448625321860858861e+01
1.660805001953888360e-02	1.439046503767432483e+01
1.680343884329816434e-02	1.429569685250863031e+01
1.699882766705744508e-02	1.420196966391083215e+01
1.719421649081672582e-02	1.410930341919743469e+01
1.738960531457600656e-02	1.401771704204114499e+01
1.758499413833528729e-02	1.392722846263971803e+01
1.778038296209456803e-02	1.383785464814008925e+01
1.797577178585384877e-02	1.374961163324864089e+01
1.817116060961313298e-02	1.366251455096095491e+01
1.836654943337241372e-02	1.357657766334955163e+01
1.856193825713169446e-02	1.349181439235199598e+01
1.875732708089097520e-02	1.340823735050456911e+01
1.895271590465025593e-02	1.332585837157125930e+01
1.914810472840953667e-02	1.324468854102159021e+01
1.934349355216881741e-02	1.316473822631373025e+01
1.953888237592809815e-02	1.308601710694274978e+01
1.973427119968737889e-02	1.300853420421864826e+01
1.992966002344665963e-02	1.293229791073931878e+01
2.012504884720594037e-02	1.285731601952934966e+01
2.032043767096522111e-02	1.278359575281722904e+01
2.051582649472450184e-02	1.271114379042606579e+01
2.071121531848378258e-02	1.263996629775687452e+01
2.090660414224306679e-02	1.257006895334464502e+01
2.110199296600234753e-02	1.250145697597132077e+01
2.129738178976162827e-02	1.243413515132043656e+01
2.149277061352090901e-02	1.236810785816283342e+01
2.168815943728018975e-02	1.230337909406198627e+01
2.188354826103947048e-02	1.223995250059224027e+01
2.207893708479875122e-02	1.217783138806304066e+01
2.227432590855803196e-02	1.211701875974583409e+01
2.246971473231731270e-02	1.205751733559996275e+01
2.266510355607659344e-02	1.199932957549724044e+01
2.286049237983587418e-02	1.194245770194529577e+01
2.305588120359515492e-02	1.188690372231149617e+01
2.325127002735443565e-02	1.183266945055016883e+01
2.344665885111371639e-02	1.177975652843751675e+01
2.364204767487300060e-02	1.172816644631951810e+01
2.383743649863228134e-02	1.167790056337827309e+01
2.403282532239156208e-02	1.162896012742461060e+01
2.422821414615084282e-02	1.158134629422442963e+01
2.442360296991012356e-02	1.153506014636731614e+01
2.461899179366940429e-02	1.149010271168693187e+01
2.481438061742868503e-02	1.144647498124271756e+01
2.500976944118796577e-02	1.140417792687353860e+01
2.520515826494724651e-02	1.136321251833402712e+01
2.540054708870652725e-02	1.132357974002476197e+01
2.559593591246580799e-02	1.128528060732812222e+01
2.579132473622508873e-02	1.124831618256143528e+01
2.598671355998436946e-02	1.121268759055985065e+01
2.618210238374365020e-02	1.117839603390112124e+01
2.637749120750293094e-02	1.114544280778470053e+01
2.657288003126221515e-02	1.111382931457814571e+01
2.676826885502149589e-02	1.108355707804320289e+01
2.696365767878077663e-02	1.105462775725422553e+01
2.715904650254005737e-02	1.102704316022207820e+01
2.735443532629933810e-02	1.100080525723586256e+01
2.754982415005861884e-02	1.097591619393514506e+01
2.774521297381789958e-02	1.095237830412530933e+01
2.794060179757718032e-02	1.093019412234846399e+01
2.813599062133646106e-02	1.090936639622207061e+01
2.833137944509574180e-02	1.088989809855700841e+01
2.852676826885502254e-02	1.087179243926802386e+01
2.872215709261430328e-02	1.085505287708682687e+01
2.891754591637358401e-02	1.083968313109002324e+01
2.911293474013286475e-02	1.082568719205277574e+01
2.930832356389214896e-02	1.081306933363899248e+01
2.950371238765142970e-02	1.080183412343840565e+01
2.969910121141071044e-02	1.079198643386073719e+01
2.989449003516999118e-02	1.078353145289653980e+01
3.008987885892927192e-02	1.077647469475416564e+01
3.028526768268855265e-02	1.077082201038176912e+01
3.048065650644783339e-02	1.076657959788270169e+01
3.067604533020711413e-02	1.076375401283232236e+01
3.087143415396639487e-02	1.076235217850373971e+01
3.106682297772567561e-02	1.076238139600956423e+01
3.126221180148495982e-02	1.076384935436576029e+01
3.145760062524424056e-02	1.076676414048372266e+01
3.165298944900352129e-02	1.077113424909597938e+01
3.184837827276280203e-02	1.077696859261951268e+01
3.204376709652208277e-02	1.078427651096118112e+01
3.223915592028136351e-02	1.079306778126831645e+01
3.243454474404064425e-02	1.080335262762665316e+01
3.262993356779992499e-02	1.081514173070785034e+01
3.282532239155920573e-02	1.082844623736673917e+01
3.302071121531848646e-02	1.084327777018901529e+01
3.321610003907776720e-02	1.085964843698767979e+01
3.341148886283704794e-02	1.087757084024697463e+01
3.360687768659632868e-02	1.089705808651044272e+01
3.380226651035560942e-02	1.091812379570900227e+01
3.399765533411489016e-02	1.094078211042432969e+01
3.419304415787417090e-02	1.096504770508070692e+01
3.438843298163345163e-02	1.099093579505756146e+01
3.458382180539273237e-02	1.101846214571416382e+01
3.477921062915201311e-02	1.104764308131550798e+01
3.497459945291129385e-02	1.107849549384747334e+01
3.516998827667057459e-02	1.111103685170789923e+01
3.536537710042985533e-02	1.114528520825770386e+01
3.556076592418913607e-02	1.118125921021551861e+01
3.575615474794841681e-02	1.121897810587628364e+01
3.595154357170769754e-02	1.125846175313295561e+01
3.614693239546698522e-02	1.129973062727806621e+01
3.634232121922626596e-02	1.134280582855959274e+01
3.653771004298554670e-02	1.138770908946298555e+01
3.673309886674482744e-02	1.143446278168945085e+01
3.692848769050410818e-02	1.148308992279674179e+01
3.712387651426338891e-02	1.153361418246657166e+01
3.731926533802266965e-02	1.158605988835996925e+01
3.751465416178195039e-02	1.164045203151770380e+01
3.771004298554123113e-02	1.169681627126092849e+01
3.790543180930051187e-02	1.175517893954201476e+01
3.810082063305979261e-02	1.181556704469346641e+01
3.829620945681907335e-02	1.187800827451748731e+01
3.849159828057835409e-02	1.194253099865522572e+01
