čas	co2	co2 - linearni$
1958.15	315.71	5.670692945732753
1958.23	317.45	7.300907630948586
1958.31	317.5	7.2411223161648195
1958.38	317.5	7.14506016572841
1958.54	315.86	5.285489536161094
1958.61	314.93	4.259427385724848
1958.69	313.19	2.409642070940663
1958.85	313.34	2.3400714413728565
1958.92	314.67	3.5740092909368286
1959.0	315.58	4.374223976152734
1959.08	316.47	5.154438661368658
1959.15	316.65	5.2383765109325395
1959.23	317.71	6.188591196148536
1959.31	318.29	6.6588058813649695
1959.38	318.29	6.56274373092856
1959.46	318.16	6.322958416144502
1959.54	316.55	4.6031731013608805
1959.61	314.8	2.7571109509249254
1959.69	313.84	1.6873256361409403
1959.77	313.34	1.0775403213569916
1959.85	314.81	2.437755006572843
1959.92	315.59	3.121692856136633
1960.0	316.43	3.85190754135283
1960.08	316.97	4.2821222265692995
1960.15	317.58	4.796060076132562
1960.23	319.03	6.136274761348432
1960.31	320.03	7.026489446564483
1960.38	320.03	6.930427296128983
1960.46	319.59	6.380641981344979
1960.54	318.18	4.860856666560721
1960.61	315.91	2.4947945161247844
1960.69	314.16	0.6350092013408357
1960.77	313.83	0.19522388655695977
1960.85	315.0	1.2554385717730838
1960.92	316.19	2.3493764213367285
1961.0	316.89	2.939591106552598
1961.08	317.7	3.6398057917685946
1961.15	318.54	4.383743641332785
1961.23	319.48	5.213958326548891
1961.31	320.58	6.204173011764851
1961.38	320.58	6.108110861328441
1961.46	319.78	5.1983255465447655
1961.54	318.58	3.8885402317609987
1961.61	316.79	2.00247808132508
1961.69	314.99	0.09269276654049463
1961.77	315.31	0.30290745175670963
1961.85	316.1	0.9831221369731793
1961.92	317.01	1.797059986536624
1962.0	317.94	2.6172746717529662
1962.08	318.56	3.1274893569689084
1962.15	319.69	4.161427206533062
1962.23	320.58	4.941641891748986
1962.31	321.01	5.261856576965329
1962.38	321.01	5.165794426528919
1962.46	320.61	4.656009111744879
1962.54	319.61	3.5462237969609305
1962.61	317.4	1.2401616465253937
1962.69	316.26	-0.009623668259337137
1962.77	315.42	-0.9594089830429766
1962.85	316.69	0.2008057021730565
1962.92	317.69	1.1047435517371014
1963.0	318.74	2.04495823695288
1963.08	319.08	2.2751729221690766
1963.15	319.86	2.959110771732867
1963.23	321.39	4.3793254569486635
1963.31	322.24	5.119540142165533
1963.38	322.24	5.0234779917291235
1963.46	321.47	4.143692676944738
1963.54	319.74	2.303907362161226
1963.61	317.77	0.23784521172501627
1963.69	316.21	-1.4319401030588779
1963.77	315.99	-1.7617254178430812
1963.85	317.07	-0.791510732626648
1963.92	318.36	0.4024271169369058
1964.0	319.57	1.5026418021534482
1964.31	322.23	3.7372237073650467
1964.38	322.23	3.6411615569290916
1964.46	321.89	3.1913762421449974
1964.54	320.44	1.6315909273612306
1964.61	318.7	-0.20447122307496102
1964.69	316.7	-2.3142565378589097
1964.77	316.87	-2.2540418526427857
1964.85	317.68	-1.553827167426789
1964.92	318.71	-0.6198893178629987
1965.0	319.44	0.00032536735307076015
1965.08	320.44	0.890540052569122
1965.15	320.89	1.244477902132985
1965.23	322.13	2.374692587349273
1965.31	322.16	2.2949072725650694
1965.38	322.16	2.1988451221286596
1965.46	321.87	1.799059807345202
1965.54	321.21	1.0292744925613988
1965.61	318.87	-1.4067876578747018
1965.69	317.81	-2.5765729726590507
1965.77	317.3	-3.196358287442763
1965.85	318.87	-1.7361436022270027
1965.92	319.42	-1.282205752662776
1966.0	320.62	-0.19199106744690653
1966.08	321.59	0.6682236177693994
1966.15	322.39	1.3721614673331715
1966.23	323.7	2.572376152549168
1966.31	324.07	2.832590837765565
1966.38	324.07	2.736528687329155
1966.46	323.75	2.306743372545043
1966.54	322.4	0.846958057761185
1966.61	320.37	-1.2791040926745154
1966.69	318.64	-3.118889407458937
1966.77	318.1	-3.7686747222428494
1966.85	319.79	-2.1884600370267435
1966.92	321.03	-1.0445221874624622
1967.0	322.33	0.14569249775331627
1967.08	322.5	0.20590718296944033
1967.15	323.04	0.6498450325329941
1967.23	324.42	1.9200597177491545
1967.31	325.0	2.390274402965588
1967.38	325.0	2.294212252529178
1967.46	324.09	1.2744269377453747
1967.54	322.55	-0.3753583770385376
1967.61	320.92	-2.101420527474602
1967.69	319.26	-3.8712058422588598
1967.77	319.39	-3.8509911570426993
1967.85	320.72	-2.630776471826721
1967.92	321.96	-1.4868386222628942
1968.0	322.57	-0.9866239370462608
1968.08	323.15	-0.5164092518302823
1968.15	323.89	0.12752859773308955
1968.23	325.02	1.14774328294925
1968.31	325.57	1.5879579681654832
1968.38	325.57	1.491895817729528
1968.46	325.36	1.172110502945543
1968.54	324.14	-0.1576748118386604
1968.61	322.11	-2.283736962274361
1968.69	320.33	-4.173522277058964
1968.77	320.25	-4.363307591842386
1968.85	321.32	-3.4030929066261706
1968.92	322.9	-1.9191550570626532
