omega	$N=6040$
0.000000000000000000e+00	6.941118226589987054e+06
1.656177542232527375e-04	6.880838555564926006e+06
3.312355084465054751e-04	6.704607380300812423e+06
4.968532626697582397e-04	6.425485171185979620e+06
6.624710168930109501e-04	6.062910072385859676e+06
8.280887711162636606e-04	5.639864290280238725e+06
9.937065253395164794e-04	5.179957171384239569e+06
1.159324279562769190e-03	4.704992739715901203e+06
1.324942033786021900e-03	4.233341232017496601e+06
1.490559788009274611e-03	3.779168039290572051e+06
1.656177542232527321e-03	3.352379869187626522e+06
1.821795296455780032e-03	2.959058136384949554e+06
1.987413050679032959e-03	2.602147176350309048e+06
2.153030804902285669e-03	2.282213078351068310e+06
2.318648559125538380e-03	1.998153108838627581e+06
2.484266313348791090e-03	1.747793627204364166e+06
2.649884067572043801e-03	1.528356646687393077e+06
2.815501821795296511e-03	1.336800989358089631e+06
2.981119576018549221e-03	1.170056691422800533e+06
3.146737330241801932e-03	1.025175295863489038e+06
3.312355084465054642e-03	8.994176926872377517e+05
3.477972838688307353e-03	7.902979056058840360e+05
3.643590592911560063e-03	6.955973159227472497e+05
3.809208347134812774e-03	6.133601257496986073e+05
3.974826101358065918e-03	5.418777621711904649e+05
4.140443855581318194e-03	4.796674976532356231e+05
4.306061609804571338e-03	4.254487566666743369e+05
4.471679364027823615e-03	3.781192870288823033e+05
4.637297118251076759e-03	3.367324812191252131e+05
4.802914872474329036e-03	3.004765345038792002e+05
4.968532626697582180e-03	2.686557390865782509e+05
5.134150380920834457e-03	2.406739723191674275e+05
5.299768135144087601e-03	2.160202949183839373e+05
5.465385889367340745e-03	1.942564983591475175e+05
5.631003643590593022e-03	1.750064056759162049e+05
5.796621397813846166e-03	1.579467208099538111e+05
5.962239152037098443e-03	1.427992277460523765e+05
6.127856906260351587e-03	1.293241550508175133e+05
6.293474660483603864e-03	1.173145396465341182e+05
6.459092414706857008e-03	1.065914430244000105e+05
6.624710168930109284e-03	9.699989202715418651e+04
6.790327923153362429e-03	8.840543394689298293e+04
6.955945677376614705e-03	8.069121157954368391e+04
7.121563431599867849e-03	7.375547792106265842e+04
7.287181185823120126e-03	6.750948241412470816e+04
7.452798940046373270e-03	6.187567118130171002e+04
7.618416694269625547e-03	5.678615267392613896e+04
7.784034448492878691e-03	5.218138780539638537e+04
7.949652202716131835e-03	4.800907009976947302e+04
8.115269956939384979e-03	4.422316683500985528e+04
8.280887711162636389e-03	4.078309674512763740e+04
8.446505465385889533e-03	3.765302369782405731e+04
8.612123219609142677e-03	3.480124899779035331e+04
8.777740973832395821e-03	3.219968767965750521e+04
8.943358728055647230e-03	2.982341643158884108e+04
9.108976482278900375e-03	2.765028270146132490e+04
9.274594236502153519e-03	2.566056614260812421e+04
9.440211990725406663e-03	2.383668490453933191e+04
9.605829744948658072e-03	2.216294040836321074e+04
9.771447499171911216e-03	2.062529520146966024e+04
9.937065253395164360e-03	1.921117929092896156e+04
1.010268300761841750e-02	1.790932103415578604e+04
1.026830076184166891e-02	1.670959923921666268e+04
1.043391851606492206e-02	1.560291361265774322e+04
1.059953627028817520e-02	1.458107110403554725e+04
1.076515402451142835e-02	1.363668604526262970e+04
1.093077177873468149e-02	1.276309227938852928e+04
1.109638953295793290e-02	1.195426572571633733e+04
1.126200728718118604e-02	1.120475604309606206e+04
