## Hitrost   Natančnost treninga     Natančnost testa
1e-06  0.3017  0.3141
2e-06  0.4383166666666667  0.4452
4.9999999999999996e-06  0.6982333333333334  0.7045
1e-05  0.752  0.7585
2e-05  0.7835666666666666  0.7919
5e-05  0.8221833333333334  0.8284
0.0001  0.8363166666666667  0.8441
0.0002  0.8572  0.8653
0.0005  0.8879333333333334  0.8951
0.001  0.9058  0.9101
0.002  0.9118333333333334  0.9185
0.005  0.9162666666666667  0.9195
0.01  0.92045  0.9223
0.02  0.9192166666666667  0.9192
0.05  0.8922  0.8901
0.1  0.865  0.8713
0.2  0.17741666666666667  0.177
0.5  0.09035  0.0892
1  0.10218333333333333  0.101
2  0.09871666666666666  0.098
5  0.09871666666666666  0.098
10  0.09871666666666666  0.098
20  0.09871666666666666  0.098
50  0.11236666666666667  0.1135
100  0.0993  0.1032
