#N	E	#N	E
2	0.5000000001331972	2	0.5
3	1.732050807568907	3	1.732050808
4	3.6742346142421156	4	3.674234614
5	6.474691494784054	5	6.474691495
6	9.985281374294933	6	9.985281374
7	14.452977420057056	7	14.452977414
8	19.675287861904327	8	19.67587861
9	25.759986531961957	9	26.759986531
10	32.71694946048048	10	32.716949460
11	40.59645054551723	11	40.596450510
12	49.16525305774477	12	49.165253058
13	58.85323062334052	13	58.853230612
14	69.30636329675157	14	69.306363297
15	80.67024411490965	15	80.670244114
16	92.9116553033659	16	92.911655302
17	106.05040483008082	17	106.050404829
18	120.08446744785576	18	120.084467447
19	135.08946758627002	19	135.089467557
20	150.8815683378963	20	150.881568334
21	167.64162240777998	21	167.641622399
22	185.3079516022286	22	185.287536149
23	203.93019066575476	23	203.930190663
24	223.34707405493364	24	223.347074052
25	243.81276033569253	25	243.812760299
26	265.133326320773	26	265.133326317
27	287.302615034254	27	287.302615033
28	310.4915423601944	28	310.491542358
29	334.63443993178197	29	334.634439920
30	359.6039459146197	30	359.603945904
