#N	E	#N	E
2	0.5	2	0.5
3	1.7320508075695067	3	1.732050808
4	3.6742346142073585	4	3.674234614
5	6.47469149520388	5	6.474691495
6	12.436569025539015	6	9.985281374
7	14.45298765704489	7	14.452977414
8	20.874867549464494	8	19.67587861
9	27.33305627770638	9	26.759986531
10	32.73172042976576	10	32.716949460
11	40.63364087027478	11	40.596450510
12	49.232615997273065	12	49.165253058
13	58.855476541896564	13	58.853230612
14	79.26213689100001	14	69.306363297
15	86.8372302048065	15	80.670244114
16	93.26846226083609	16	92.911655302
17	369.7869955513992	17	106.050404829
18	121.25297079944708	18	120.084467447
19	166.46855427202252	19	135.089467557
20	151.53031935784878	20	150.881568334
21	174.20053937780472	21	167.641622399
22	186.11201085890858	22	185.287536149
23	204.43342858264285	23	203.930190663
24	260.5830947095856	24	223.347074052
25	244.36925699891432	25	243.812760299
26	274.1457993510165	26	265.133326317
27	288.84392955289405	27	287.302615033
28	329.5739167380028	28	310.491542358
29	343.26305691053295	29	334.634439920
30	363.58840678141206	30	359.603945904
