#N	E	#N	E
2	0.5	2	0.5
3	1.7320508075689403	3	1.732050808
4	3.6742354780201554	4	3.674234614
5	6.474770497894033	5	6.474691495
6	9.985557373965037	6	9.985281374
7	14.455506521762205	7	14.452977414
8	19.682409532088094	8	19.67587861
9	25.76093971229056	9	26.759986531
10	32.72047708058585	10	32.716949460
11	40.612484664673616	11	40.596450510
12	49.172441162838254	12	49.165253058
13	58.87941814864188	13	58.853230612
14	69.32008319540229	14	69.306363297
15	80.71828361281956	15	80.670244114
16	92.93465544268246	16	92.911655302
17	106.12743431091418	17	106.050404829
18	120.12055296718846	18	120.084467447
19	135.15200364966162	19	135.089467557
20	151.0243250191897	20	150.881568334
21	167.71377122192564	21	167.641622399
22	185.32477674133423	22	185.287536149
23	203.9787518786472	23	203.930190663
24	223.45632458991506	24	223.347074052
25	243.88343115933282	25	243.812760299
26	265.20179143608783	26	265.133326317
27	287.5741851627052	27	287.302615033
28	310.61431164954405	28	310.491542358
29	334.6937363210786	29	334.634439920
30	359.83822411580405	30	359.603945904
